Model,Accuracy,Precision (BBB-),Precision (BBB+),Recall (BBB-),Recall (BBB+),F1 (BBB-),F1 (BBB+),F1 Macro,ROC AUC
XGB - descriptors (No Balance),0.8737988468930173,0.8649706457925636,0.878095238095238,0.775438596491228,0.9303733602421796,0.8177613320999075,0.9034786869181773,0.8606200095090424,0.942651406518314
XGB - descriptors (SMOTE),0.8712363869314542,0.847457627118644,0.883495145631068,0.7894736842105263,0.9182643794147326,0.8174386920980926,0.9005442850074221,0.8589914885527574,0.9383282879246553
XGB - descriptors (SMOTE),0.8712363869314542,0.847457627118644,0.883495145631068,0.7894736842105263,0.9182643794147326,0.8174386920980926,0.9005442850074221,0.8589914885527574,0.9383282879246553
LR - all (PCA 95%),0.8635490070467648,0.8493150684931506,0.8704761904761905,0.7614035087719299,0.922300706357215,0.8029602220166513,0.895639392454679,0.8492998072356652,0.9321914776851311
LR - all (PCA 95%),0.8635490070467648,0.8493150684931506,0.8704761904761905,0.7614035087719299,0.922300706357215,0.8029602220166513,0.895639392454679,0.8492998072356652,0.9321914776851311
LR - all (ClassWeight),0.8757206918641897,0.8112582781456954,0.9164054336468129,0.8596491228070176,0.8849646821392533,0.8347529812606473,0.9004106776180698,0.8675818294393586,0.9280329987430735
LR - all (No Balance),0.8782831518257527,0.8544776119402985,0.8907317073170732,0.8035087719298246,0.9212916246215943,0.8282097649186256,0.9057539682539683,0.866981866586297,0.9277231929470497
LR - all (SMOTE),0.8699551569506726,0.8033057851239669,0.9121338912133892,0.8526315789473684,0.8799192734611504,0.8272340425531914,0.8957370313302516,0.8614855369417216,0.9245330784074213
LR - desc_morgan (ClassWeight),0.8532991672005125,0.78369384359401,0.896875,0.8263157894736842,0.8688193743693239,0.8044406490179334,0.8826242952332137,0.8435324721255736,0.9205410094357993
LR - desc_morgan (No Balance),0.8513773222293401,0.8164794007490637,0.8695228821811101,0.7649122807017544,0.9011099899091827,0.7898550724637681,0.8850346878097126,0.8374448801367403,0.9204994069431904
LR - desc_morgan (PCA 95%),0.852017937219731,0.8424242424242424,0.8564727954971857,0.7315789473684211,0.9212916246215943,0.7830985915492957,0.8877005347593583,0.835399563154327,0.9197992458441765
LR - desc_morgan (SMOTE),0.852017937219731,0.7887563884156729,0.8901437371663244,0.8122807017543859,0.8748738647830474,0.8003457216940363,0.8824427480916031,0.8413942348928196,0.9149043142669995
LR - morgan (PCA 95%),0.8456117873158232,0.827037773359841,0.8544423440453687,0.7298245614035088,0.9122098890010091,0.7753960857409133,0.8823816495851635,0.8288888676630384,0.9139217873138953
LR - morgan (PCA 95%),0.8456117873158232,0.827037773359841,0.8544423440453687,0.7298245614035088,0.9122098890010091,0.7753960857409133,0.8823816495851635,0.8288888676630384,0.9139217873138953
LR - morgan (ClassWeight),0.8443305573350416,0.7738693467336684,0.8879668049792531,0.8105263157894737,0.863773965691221,0.7917737789203085,0.8757033248081841,0.8337385518642464,0.9129835183316516
LR - morgan (No Balance),0.8443305573350416,0.8090737240075614,0.8624031007751938,0.7508771929824561,0.8980827447023209,0.7788898999090081,0.8798813643104301,0.829385632109719,0.9127162001876538
LR - desc_maccs (SMOTE),0.8494554772581678,0.7834179357021996,0.8896907216494845,0.8122807017543859,0.8708375378405651,0.797588285960379,0.8801631820499745,0.8388757340051767,0.9119248676686671
LR - desc_maccs (ClassWeight),0.846252402306214,0.7825342465753424,0.8843398157625384,0.8017543859649123,0.8718466195761857,0.7920277296360485,0.8780487804878049,0.8350382550619266,0.9104360295289182
LR - desc_maccs (No Balance),0.848814862267777,0.8394308943089431,0.8531337698783911,0.724561403508772,0.9202825428859738,0.7777777777777778,0.8854368932038835,0.8316073354908307,0.9076831837413919
LR - morgan (SMOTE),0.8385650224215246,0.768581081081081,0.8813209494324046,0.7982456140350878,0.8617558022199798,0.7831325301204819,0.8714285714285714,0.8272805507745267,0.9068130720342733
LR - desc_maccs (PCA 95%),0.8449711723254324,0.847457627118644,0.8438934802571166,0.7017543859649122,0.9273461150353178,0.7677543186180422,0.8836538461538461,0.8257040823859442,0.900817887301503
LR - maccs (SMOTE),0.8424087123638693,0.7773972602739726,0.8812691914022518,0.7964912280701755,0.8688193743693239,0.7868284228769498,0.875,0.8309142114384749,0.9007479597075433
LR - maccs (ClassWeight),0.8353619474695708,0.7639123102866779,0.8791322314049587,0.7947368421052632,0.858728557013118,0.7790197764402408,0.8688106176620725,0.8239151970511567,0.9002965284047657
LR - maccs (No Balance),0.8379244074311338,0.8126232741617357,0.8500948766603416,0.7228070175438597,0.9041372351160444,0.7650882079851439,0.8762836185819071,0.8206859132835255,0.8986271177439056
LR - maccs (PCA 95%),0.8340807174887892,0.8206185567010309,0.8401486988847584,0.6982456140350877,0.9122098890010091,0.7545023696682465,0.8746976294146106,0.8145999995414286,0.8882973073450529
LR - maccs (PCA 95%),0.8340807174887892,0.8206185567010309,0.8401486988847584,0.6982456140350877,0.9122098890010091,0.7545023696682465,0.8746976294146106,0.8145999995414286,0.8882973073450529
LR - descriptors (SMOTE),0.7994875080076874,0.7189097103918228,0.8480492813141683,0.7403508771929824,0.8335015136226034,0.7294727744165946,0.8407124681933842,0.7850926213049894,0.836490696974525
LR - descriptors (ClassWeight),0.7975656630365151,0.7152542372881356,0.8475798146240988,0.7403508771929824,0.8304742684157417,0.7275862068965517,0.8389398572884812,0.7832630320925165,0.8361260112946342
LR - descriptors (No Balance),0.8071748878923767,0.806378132118451,0.8074866310160428,0.6210526315789474,0.9142280524722503,0.7016848364717542,0.8575485092285849,0.7796166728501696,0.8347858799369767
LR - descriptors (PCA 95%),0.7975656630365151,0.8097560975609757,0.7932232841007819,0.5824561403508772,0.9212916246215943,0.6775510204081633,0.8524743230625583,0.7650126717353608,0.8226060863561527
LR - descriptors (PCA 95%),0.7975656630365151,0.8097560975609757,0.7932232841007819,0.5824561403508772,0.9212916246215943,0.6775510204081633,0.8524743230625583,0.7650126717353608,0.8226060863561527
